Participant ID,Display,Spreadsheet: Product,Response,Position,Reaction Time,Deal Type,Likely to buy,Confident in choice,Likely to change,Attention Check Response,Why Response
13414503,4 Discounts Main,Printer.png,$400(Deal: buy 1 get 1 free),Position 4,35062.79999999778,BOGO,4,4,7,1,"buy one get one free sounds more satisfying, but it does bother me with the higher initial price. looks a bit foolish"
13414503,3 Discounts Main,Desk Lamp.png,$40 (Deal: 10% off),Position 2,14182.999999998488,Percentage off,4,4,7,1,I prefer percentage.
13414503,4 Discounts Main,Tablet.png,$640 (Deal: buy 1 get 1 free),Position 1,22998.900000000023,BOGO,4,4,7,1,I like bundle if I need 2
13414503,2 Discounts Main,Digital Camera.png,$750 (Deal: $75 off),Position 2,17766.70000000007,Dollar off,4,4,7,1,"$75 sounds more than 10% here, as the number looks bigger"
13415449,2 Discounts Main,Skincare Kit.png,$90 (Deal: 15% off),Position 1,14819.000000004482,Percentage off,4,5,6,2,feels cheaper
13415449,4 Discounts Main,Soundbar.png,$350 (Deal: $70 off),Position 1,196713.600000003,Dollar off,3,4,5,4,feels cheaper
13415449,4 Discounts Main,Sofa.png,$1000 (Deal: 20% off),Position 4,40696.40000000154,Percentage off,4,6,6,4,feels cheaper
13415449,2 Discounts Main,Blender.png,$70 (Deal: 15% off),Position 1,25234.100000003004,Percentage off,4,7,7,2,randomly select one becasue same price
13415449,3 Discounts Main,Phone Charger.png,$15 (Deal: 10% off),Position 3,14150.0,Percentage off,4,7,7,3,percentage feels cheaper
13415449,3 Discounts Main,Wireless Mouse.png,$25 (Deal: 10% off),Position 2,48289.80000000296,Percentage off,4,5,6,3,percentage feels cheaper
13415450,3 Discounts Main,Coffee Grinder.png,$80 (Deal: 10% off),Position 2,19697.6999999985,Percentage off,4,5,3,3,same price for the products
13415450,2 Discounts Main,Mechanical Keyboard.png,$120 (Deal: 10% off),Position 2,4397.199999997043,Percentage off,2,5,6,2,random choice because it's the same price 
13415450,3 Discounts Main,Phone Charger.png,$15 (Deal: now $13.5),Position 2,32462.89999999554,Now price,4,3,3,3,
13415450,4 Discounts Main,Bluetooth Headphones.png,$150 (Deal: $30 off),Position 4,22990.799999995503,Dollar off,5,5,4,3,Same price randomly choose one 
13415450,2 Discounts Main,Earbuds.png,$80 (Deal: 10% off),Position 2,4005.0,Percentage off,5,3,6,2,Same price I like 10% off 
13415450,4 Discounts Main,Microwave Oven.png,$300 (Deal: 20% off),Position 1,109948.10000000148,Percentage off,6,6,6,4,I like 20% off
