Participant ID,Display,Spreadsheet: Product,Response,Position,Reaction Time,Deal Type
13432989,2 Discounts Fatigue,Leather Wallet.png,$70 (Deal: now $58),Position 2,2840.5999999999985,Now price
13432989,4 Discounts Fatigue,Electric Kettle.png,$50 (Deal: buy 1 get 1 40% off),Position 1,2027.900000000016,BOGO
13432989,3 Discounts Fatigue,Stainless Steel Cookware Set.png,$200 (Deal: $30 off),Position 2,641.0,Dollar off
13432989,2 Discounts Fatigue,Air Purifier.png,$320 (Deal: $50 off),Position 2,1032.6999999523105,Dollar off
13432989,2 Discounts Fatigue,Gaming Keyboard.png,$120 (Deal: $18 off),Position 1,666.3000000000029,Dollar off
13432989,3 Discounts Fatigue,Designer Backpack.png,$180 (Deal: $20 off),Position 2,496.7999999523163,Dollar off
13432989,3 Discounts Fatigue,Scented Candle (Gift Pack).png,$50 (Deal: $5 off),Position 2,519.6000000238419,Dollar off
13433652,4 Discounts Fatigue,Electric Kettle.png,$35 (Deal: now $29),Position 1,34959.50000007152,Now price
13433652,3 Discounts Fatigue,Stainless Steel Cookware Set.png,$200 (Deal: 15% off),Position 2,42043.100000095365,Percentage off
13433652,3 Discounts Fatigue,Designer Backpack.png,$180 (Deal: now $158),Position 3,24397.500000023836,Now price
13433652,4 Discounts Fatigue,Bluetooth Speaker.png,$90 (Deal: buy 1 get 1 free),Position 4,36939.40000009537,BOGO
13433652,2 Discounts Fatigue,Gaming Keyboard.png,$120 (Deal: $18 off),Position 2,11041.799999999988,Dollar off
13433652,3 Discounts Fatigue,Scented Candle (Gift Pack).png,$50 (Deal: now $42),Position 2,10762.80000004769,Now price
13433652,4 Discounts Fatigue,Running Shoes.png,$120 (Deal: buy 1 get 1 50% off),Position 4,17277.90000002383,BOGO
13433652,2 Discounts Fatigue,Air Purifier.png,$320 (Deal: 20% off),Position 2,9872.5,Percentage off
13433652,2 Discounts Fatigue,Leather Wallet.png,$70 (Deal: now $58),Position 1,6260.600000095379,Now price
13441531,2 Discounts Fatigue,Fitness Tracker.png,$95 (Deal: now $80),Position 1,8431.400000000001,Now price
13441531,4 Discounts Fatigue,Desk Organizer.png,$25 (Deal: $3 off),Position 2,9598.300000000005,Dollar off
13441531,2 Discounts Fatigue,Air Purifier.png,$320 (Deal: $50 off),Position 1,7380.299999999952,Dollar off
13441531,4 Discounts Fatigue,Bluetooth Speaker.png,$90 (Deal: buy 1 get 1 free),Position 1,4547.599999999955,BOGO
13441531,3 Discounts Fatigue,Kitchen Knife Set.png,$110 (Deal: now $90),Position 1,6747.699999999997,Now price
13441531,4 Discounts Fatigue,Monitor Stand.png,$75 (Deal: buy 1 get 1 25% off),Position 2,9264.300000000005,BOGO
13441531,3 Discounts Fatigue,Home Espresso Machine.png,$399 (Deal: buy 1 get 1 free),Position 3,5397.5,BOGO
13441531,2 Discounts Fatigue,Wireless Charger.png,$60 (Deal: now $45),Position 1,4162.899999999994,Now price
13441531,3 Discounts Fatigue,Laptop Stand.png,$45 (Deal: now $39),Position 1,7897.699999999968,Now price
13406543,2 Discounts Fatigue,Fitness Tracker.png,$95 (Deal: now $80),Position 1,23859.0,Now price
13406543,4 Discounts Fatigue,Desk Organizer.png,$40 (Deal: buy 1 get 1 free),Position 3,74569.0,BOGO
13406543,2 Discounts Fatigue,Gaming Keyboard.png,$120 (Deal: $18 off),Position 1,32388.0,Dollar off
13406543,3 Discounts Fatigue,Home Espresso Machine.png,$399 (Deal: buy 1 get 1 free),Position 3,29824.0,BOGO
13406543,2 Discounts Fatigue,Leather Wallet.png,$70 (Deal: now $58),Position 1,11702.0,Now price
13406543,4 Discounts Fatigue,Monitor Stand.png,$75 (Deal: buy 1 get 1 25% off),Position 3,30865.0,BOGO
13406543,3 Discounts Fatigue,Stainless Steel Cookware Set.png,$200 (Deal: $30 off),Position 3,34853.0,Dollar off
